"mz","rt","CAR_MB_1","CAR_MB_2","CAR_MB_3","CAR_NC_1","CAR_NC_2","CAR_NC_3","SampleID","ID","CAR MB fc","CAR MB pvalue","avg","change"
583.440694173177,7.00990833333333,300248.8125,238504.46875,250644.71875,100,100,100,1,6907,2631.32666666667,0.00511589728738345,263132.666666667,"up"
603.477193196615,7.05656333333333,145984.03125,122969.6796875,147397.25,100,100,100,3,7139,1387.83653645833,0.00324346442177639,138783.653645833,"up"
611.472880045573,7.228945,124266.125,151975.671875,116134.5859375,100,100,100,2,7233,1307.92127604167,0.00682026628247588,130792.127604167,"up"
615.454711914062,7.50414666666667,225760.609375,230411.9375,177082.71875,100,100,100,2,7278,2110.85088541667,0.00647029932474374,211085.088541667,"up"
622.421875,6.69487333333333,114013.765625,109202.6015625,98001.1640625,100,100,100,1,7363,1070.72510416667,0.00196057763637375,107072.510416667,"up"
627.88730875651,6.79832666666667,135453.453125,141477.421875,131715.90625,100,100,100,2,7403,1362.1559375,0.000436137838438561,136215.59375,"up"
631.947814941406,7.738275,148995.96875,161522.90625,151384.265625,100,100,100,2,7448,1539.67713541667,0.000622244255597,153967.713541667,"up"
633.941772460938,7.38627666666667,95255.2890625,120320.8984375,102380.7109375,100,100,100,2,7474,1059.856328125,0.00492301022842153,105985.6328125,"up"
638.878682454427,6.78097166666667,121111.1328125,106402.171875,121643.5234375,100,100,100,3,7518,1163.85609375,0.00183933253457856,116385.609375,"up"
641.482401529948,7.1269,137744.671875,120859.5625,108462.7109375,100,100,100,1,7543,1223.556484375,0.00478348216733856,122355.6484375,"up"
644.474833170573,7.58240666666667,266609.5625,340901.625,292321.96875,100,100,100,2,7581,2999.44385416667,0.00523592713061254,299944.385416667,"up"
646.953572591146,7.60398333333333,154656.625,174033.265625,200190.078125,100,100,100,3,7611,1762.93322916667,0.00555987900593694,176293.322916667,"up"
654.45253499349,6.86009,107005.0859375,100324.359375,116804.515625,100,100,100,3,7686,1080.44653645833,0.0019598126005241,108044.653645833,"up"
661.958170572917,7.46484666666667,138780.09375,172488.34375,146288.71875,100,100,100,2,7777,1525.19052083333,0.00446345437496903,152519.052083333,"up"
663.42881266276,6.93147666666667,135792.1875,106544.0859375,101267.3203125,100,100,100,1,7798,1145.3453125,0.00868953768021908,114534.53125,"up"
677.507751464844,7.68175666666667,100061.203125,127949.734375,140581.75,100,100,100,3,7930,1228.64229166667,0.00937426660921934,122864.229166667,"up"
687.507649739583,7.16593333333333,175041.15625,145309.359375,157485.875,100,100,100,1,8044,1592.78796875,0.00292612862868132,159278.796875,"up"
704.541320800781,7.13476,387855.8125,326766.0625,407108.34375,100,100,100,3,8216,3739.10072916667,0.0041712155815405,373910.072916667,"up"
718.558024088542,7.17395166666667,206643.828125,210462.90625,275548.84375,100,100,100,3,8310,2308.85192708333,0.00925608138200324,230885.192708333,"up"
721.533203125,7.66009833333333,148121.78125,153814.21875,149041.9375,100,100,100,2,8328,1503.25979166667,0.000137889435516115,150325.979166667,"up"
721.533203125,7.66009833333333,148121.78125,153814.21875,149041.9375,100,100,100,2,8329,1503.25979166667,0.000137889435516115,150325.979166667,"up"
797.522684733073,6.75912,116459.4609375,126915.578125,91229.9453125,100,100,100,2,8898,1115.34994791667,0.00891359847980574,111534.994791667,"up"
834.577067057292,6.95531833333333,122733.9765625,148282.078125,110363.890625,100,100,100,2,9092,1271.266484375,0.00763606757862028,127126.6484375,"up"
836.620646158854,7.09561,203889.59375,175003.09375,216093.609375,100,100,100,3,9106,1983.28765625,0.00375617239226895,198328.765625,"up"
837.589864095052,7.38627666666667,134896.21875,144561.34375,108942.34375,100,100,100,2,9112,1294.66635416667,0.00669003138792614,129466.635416667,"up"
883.594665527344,7.09561,439982.78125,422743.9375,449147.65625,100,100,100,3,9295,4372.91458333333,0.000313279037393818,437291.458333333,"up"
900.594665527344,6.89950333333333,100566.90625,107693.2890625,110562.75,100,100,100,3,9357,1062.74315104167,0.000782349901307508,106274.315104167,"up"
924.645548502604,6.69487333333333,126982.6015625,119189.1171875,110077.390625,100,100,100,1,9473,1187.49703125,0.00169084356253628,118749.703125,"up"
937.684936523438,7.11157666666667,153167.078125,214982.234375,204639.78125,100,100,100,2,9516,1909.29697916667,0.00988598925782211,190929.697916667,"up"
955.65273030599,7.25232666666667,234525.609375,201577.390625,273432.46875,100,100,100,3,9565,2365.11822916667,0.00762778385350315,236511.822916667,"up"
970.671691894531,7.33068833333333,129708.265625,152072.671875,176421.734375,100,100,100,3,9618,1527.34223958333,0.00771984478969067,152734.223958333,"up"
997.698872884115,7.62124166666667,145412.9375,162911.421875,137988.4375,100,100,100,2,9752,1487.70932291667,0.00246032198768767,148770.932291667,"up"
997.698872884115,7.62124166666667,145412.9375,162911.421875,137988.4375,100,100,100,2,9753,1487.70932291667,0.00246032198768767,148770.932291667,"up"
