"mz","rt","CAR_MB_1","CAR_MB_2","CAR_MB_3","CAR_NC_1","CAR_NC_2","CAR_NC_3","SampleID","ID","CAR MB fc","CAR MB pvalue"
101.008796691895,1.52612966666667,1254599.125,1310939.75,1225770.5,738935,1856820.625,1443545.5,5,1,0.938605282863134,0.823947254352581
101.024917602539,8.41739666666667,75760.140625,60173.1796875,28901.458984375,204668.65625,13852.9833984375,41970.98046875,4,2,0.632780994804079,0.649070705539591
101.027425130208,8.37872833333333,477717.875,306447.15625,701336.9375,1449598.875,287908.0625,1068890.625,4,3,0.529326987950589,0.326727358809788
101.050313313802,5.64002833333333,65839.09375,77777.84375,93598.2578125,260416.5,54564.66796875,35836.95703125,4,4,0.676177136835504,0.65195814200615
101.058286031087,4.66093,29796.69140625,20079.353515625,58252.76953125,146614.953125,45367.68359375,46342.1328125,4,5,0.453703635865456,0.325545544886555
101.096405029297,6.91609333333333,155444.25,192823.546875,124293.953125,144422.546875,98713.21875,137712.734375,2,6,1.24081294793074,0.284875415714442
101.115829467773,1.57031083333333,147774.484375,141283.640625,97873.2734375,193133.375,196748.75,94494.03125,5,7,0.79882420603254,0.44782716946513
101.138343811035,8.37872833333333,180052.125,115453.3515625,103337.75,483789.3125,40953.3984375,421002.125,4,8,0.421723927434543,0.317413710364217
101.244786580404,7.88411,246039.0625,164181.03125,147129.5625,634270.125,82827.109375,747918.9375,6,9,0.380439251763806,0.277427403276032
101.249328613281,8.37872833333333,60732.53125,46596.5390625,84678.0234375,176867.953125,43274.2265625,141502.234375,4,10,0.530927856988321,0.290562031425888
101.356002807617,8.37872833333333,176885.734375,114223.625,103600.7890625,468449.65625,59712.6640625,290479.53125,4,11,0.482152418281739,0.35450960895127
101.466852823893,8.45598166666667,116889.609375,87003.25,71155.4921875,310941.34375,34193.18359375,204606.3125,4,12,0.500323664584708,0.373708137193292
101.509104410807,1.879105,40416.11328125,47678.6875,45073.65234375,126985.671875,90554.125,97609.515625,4,13,0.422556698818754,0.0285812213894356
101.523447672526,1.21838433333333,128182.3515625,101163.171875,137665.6875,39856.34765625,83760.78125,69472.0078125,3,14,1.90073464087253,0.0278545844694075
